POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
76,Mustafizur Rahman,38,38,143.0,1121,38,3/16,29.5,7.83,22.57,0,0
77,Dan Christian,49,49,147.1,1192,38,2/10,31.36,8.09,23.23,0,0
78,Pat Cummins,37,37,139.0,1145,38,4/34,30.13,8.23,21.94,1,0
79,Doug Bollinger,27,27,96.0,693,37,4/13,18.72,7.21,15.56,1,0
80,Manpreet Gony,44,44,148.0,1287,37,3/31,34.78,8.69,24.0,0,0
81,Varun Chakaravarthy,31,31,123.0,839,36,5/20,23.3,6.82,20.5,0,1
82,Yuvraj Singh,132,73,144.5,1077,36,4/29,29.91,7.43,24.13,2,0
83,Jason Holder,26,26,95.5,786,35,4/52,22.45,8.2,16.42,1,0
84,Pradeep Sangwan,39,39,133.4,1175,35,3/18,33.57,8.79,22.91,0,0
85,Mitchell Starc,27,26,96.4,693,34,4/15,20.38,7.16,17.05,1,0
86,Anrich Nortje,24,24,91.2,699,34,3/33,20.55,7.65,16.11,0,0
87,Pawan Negi,50,42,119.2,939,34,4/18,27.61,7.86,21.05,1,0
88,Kevon Cooper,25,25,96.0,757,33,4/26,22.93,7.88,17.45,1,0
89,Rahul Tewatia,48,45,132.2,1020,32,3/18,31.87,7.7,24.81,0,0
90,Khaleel Ahmed,24,24,90.3,786,32,3/21,24.56,8.68,16.96,0,0
91,Sam Curran,32,31,108.0,995,32,4/11,31.09,9.21,20.25,1,0
92,Murali Kartik,56,55,191.3,1388,31,3/17,44.77,7.24,37.06,0,0
93,Tim Southee,43,43,160.0,1388,31,3/24,44.77,8.67,30.96,0,0
94,Thisara Perera,37,36,116.2,1016,31,3/20,32.77,8.73,22.51,0,0
95,Arshdeep Singh,23,23,76.1,669,30,5/32,22.3,8.78,15.23,0,1
96,Chris Woakes,21,21,73.2,658,30,3/6,21.93,8.97,14.66,0,0
97,Prasidh Krishna,34,34,124.2,1152,30,4/30,38.4,9.26,24.86,1,0
98,Marcus Stoinis,56,45,102.0,969,30,4/15,32.3,9.5,20.4,1,0
99,Azhar Mahmood,23,23,89.3,700,29,3/20,24.13,7.82,18.51,0,0
100,Avesh Khan,25,25,91.0,749,29,3/13,25.82,8.23,18.82,0,0
